id,happy,sad,angry,disgust,surprise,fear
75,1.6470588235294117,2.735294117647059,3.117647058823529,4.294117647058823,3.5294117647058822,4.882352941176472
76,2.17948717948718,3.3076923076923075,3.948717948717949,3.6153846153846163,2.769230769230769,3.051282051282051
77,2.0416666666666665,3.208333333333333,4.958333333333333,3.7916666666666665,2.4166666666666665,3.7083333333333335
78,1.2222222222222223,3.074074074074073,4.148148148148148,3.7037037037037037,4.2222222222222205,2.962962962962963
79,2.5555555555555562,2.066666666666667,6.177777777777778,4.888888888888889,2.1111111111111107,2.2666666666666666
80,3.310344827586207,2.5517241379310347,3.5172413793103448,3.965517241379312,3.4137931034482767,3.5517241379310347
81,1.8888888888888888,2.1111111111111107,7.133333333333334,4.755555555555556,2.533333333333333,2.4
82,2.914438502673797,1.502673796791444,8.256684491978609,5.2780748663101615,2.5668449197860963,2.3101604278074865
83,1.0416666666666667,1.7916666666666667,5.083333333333333,5.541666666666668,1.9583333333333333,3.125
84,1.0833333333333333,5.0,4.208333333333333,4.666666666666667,2.875,4.75
85,1.9714285714285715,2.3142857142857145,4.485714285714286,4.542857142857144,2.057142857142857,3.0285714285714285
86,3.2432432432432434,3.6216216216216215,5.405405405405406,4.243243243243243,2.4864864864864864,2.216216216216216
87,1.7045454545454546,2.113636363636364,5.590909090909091,4.909090909090909,1.9318181818181817,2.6818181818181817
88,2.5454545454545454,2.878787878787879,4.0606060606060606,4.333333333333333,3.212121212121212,2.7575757575757582
89,2.28,2.4,5.66,4.7,2.5,2.76
90,0.7804878048780488,3.463414634146341,8.926829268292684,3.5853658536585367,1.9756097560975607,2.731707317073171
91,4.125,1.75,6.3125,5.0,3.8125,2.8125
92,3.1363636363636362,3.0454545454545454,3.7954545454545454,3.9090909090909087,3.1590909090909087,3.5681818181818183
93,3.8333333333333335,1.5833333333333333,6.75,4.958333333333333,2.75,6.125
94,3.9912280701754392,1.4912280701754386,7.63157894736842,5.280701754385965,3.4736842105263164,2.7105263157894743
95,1.7222222222222223,1.3333333333333333,10.694444444444443,6.277777777777778,2.1388888888888893,3.0555555555555562
96,2.3472222222222223,1.375,9.291666666666666,7.458333333333332,2.1944444444444446,2.375
97,1.2,2.425,10.175,4.3,2.1,3.15
98,2.3181818181818183,4.454545454545454,3.1363636363636362,3.0909090909090917,3.4545454545454546,2.0454545454545454
99,1.5,4.566666666666666,5.466666666666668,4.933333333333334,2.3,4.333333333333333
100,3.0425531914893615,3.723404255319149,4.148936170212766,2.595744680851064,2.276595744680851,2.0212765957446805
101,1.8571428571428568,3.678571428571429,5.25,4.357142857142857,2.0357142857142856,3.071428571428572
102,1.5423728813559323,2.5593220338983054,6.423728813559323,4.9491525423728815,1.6949152542372878,2.542372881355932
103,1.9387755102040816,2.53061224489796,6.469387755102041,5.2653061224489806,2.5510204081632653,3.0408163265306123
104,1.5,4.076923076923077,5.269230769230768,4.153846153846153,2.423076923076924,2.3846153846153846
105,2.0,2.4054054054054053,6.108108108108107,5.027027027027027,2.9459459459459465,5.0540540540540535
106,2.5,3.928571428571429,5.053571428571429,3.7142857142857135,2.625,2.8571428571428568
107,2.6326530612244903,3.53061224489796,4.7346938775510194,4.204081632653061,2.7551020408163267,2.3877551020408165
108,3.2857142857142856,1.5934065934065933,5.153846153846153,4.219780219780221,4.0989010989010985,3.021978021978022
109,2.270833333333333,3.020833333333333,9.979166666666666,4.666666666666667,2.270833333333333,2.8541666666666665
110,3.25,1.7142857142857142,7.107142857142858,5.357142857142857,4.803571428571429,2.7142857142857144
111,6.764705882352941,2.0588235294117645,2.176470588235294,1.7647058823529411,2.7058823529411766,2.0
112,2.6923076923076925,1.824175824175824,6.769230769230767,4.967032967032966,2.9450549450549453,3.7472527472527473
113,5.953488372093022,1.755813953488372,3.6279069767441854,2.9069767441860463,3.5813953488372086,2.6162790697674416
114,1.903225806451613,1.8709677419354842,4.387096774193549,4.064516129032258,2.4838709677419355,2.870967741935484
115,2.8636363636363638,2.409090909090909,5.0227272727272725,6.431818181818183,1.7954545454545454,2.113636363636364
116,2.15625,2.84375,3.8125,3.65625,2.59375,3.4375
117,2.8181818181818183,1.690909090909091,6.545454545454546,3.672727272727273,2.8,2.4363636363636365
118,2.4047619047619047,3.023809523809524,5.166666666666667,4.285714285714286,3.238095238095238,2.6904761904761907
119,1.5,2.16,8.06,4.22,2.28,2.5
120,3.3,3.06,5.16,4.68,2.86,3.06
121,2.4411764705882355,1.8676470588235288,4.5,3.8088235294117654,2.8235294117647056,2.6029411764705883
122,1.8378378378378384,2.5675675675675675,5.864864864864867,3.4054054054054053,3.1621621621621623,2.810810810810811
123,2.7073170731707314,3.5853658536585367,5.634146341463414,3.8292682926829267,3.4390243902439024,2.7073170731707314
124,1.9180327868852456,2.442622950819672,6.213114754098362,4.19672131147541,2.1639344262295084,2.5737704918032787
125,2.8048780487804885,1.7804878048780488,6.121951219512195,4.0,2.414634146341464,2.365853658536585
126,2.2333333333333334,3.7,6.833333333333332,4.066666666666666,1.6333333333333333,2.1666666666666665
127,2.0634920634920637,2.761904761904762,7.190476190476191,4.7936507936507935,2.015873015873016,2.5079365079365084
128,4.6923076923076925,2.1538461538461537,5.246153846153846,3.723076923076924,2.8461538461538463,1.969230769230769
129,3.806451612903226,1.9677419354838708,9.677419354838714,3.3870967741935485,2.4838709677419355,1.6129032258064515
130,4.25,2.066666666666667,8.266666666666667,3.55,2.9166666666666665,2.2
131,4.5,2.25,4.875,4.375,3.75,2.625
132,3.3703703703703702,2.5185185185185186,4.5555555555555545,4.407407407407407,2.962962962962963,4.148148148148148
133,3.1071428571428568,2.3214285714285716,3.8571428571428568,3.2857142857142856,3.5357142857142856,2.821428571428572
134,1.9230769230769231,2.6153846153846154,5.230769230769232,4.384615384615385,2.6153846153846154,2.2820512820512806
135,2.8135593220338984,1.8135593220338984,6.491525423728813,6.084745762711862,2.3389830508474576,2.983050847457627
136,2.6666666666666665,1.2222222222222223,6.8888888888888875,5.0,2.5555555555555562,2.0
137,2.7428571428571438,1.9142857142857144,4.8285714285714265,5.0,2.657142857142857,1.8285714285714283
138,3.0297029702970297,1.6732673267326732,6.128712871287129,6.445544554455446,2.514851485148516,2.623762376237624
139,2.673469387755102,2.3469387755102042,5.081632653061225,4.530612244897959,3.2244897959183683,4.428571428571429
140,1.5686274509803917,2.176470588235294,4.627450980392157,5.078431372549018,2.8039215686274512,2.9019607843137254
141,3.842105263157895,2.6578947368421053,4.1842105263157885,4.552631578947368,4.078947368421051,4.315789473684212
142,1.2926829268292683,3.2195121951219514,8.097560975609756,4.097560975609756,1.4390243902439024,2.6341463414634148
