,Position,Track Name,Artist,Streams,URL,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
82,83,そっけない,RADWIMPS,268693,https://open.spotify.com/track/2ntXQnx4ZUraj1u5Hwqjem,0.594,https://api.spotify.com/v1/audio-analysis/2ntXQnx4ZUraj1u5Hwqjem,0.626,389467,0.399,2ntXQnx4ZUraj1u5Hwqjem,0.0,0,0.101,-7.304,1,0.0363,109.916,4,https://api.spotify.com/v1/tracks/2ntXQnx4ZUraj1u5Hwqjem,audio_features,spotify:track:2ntXQnx4ZUraj1u5Hwqjem,0.184
83,84,だから僕は音楽を辞めた,ヨルシカ,267606,https://open.spotify.com/track/5j7ixaLeGTGSv4DzKs0pCM,0.36,https://api.spotify.com/v1/audio-analysis/5j7ixaLeGTGSv4DzKs0pCM,0.65,242913,0.88,5j7ixaLeGTGSv4DzKs0pCM,0.00369,4,0.23,-5.326,1,0.0283,124.985,4,https://api.spotify.com/v1/tracks/5j7ixaLeGTGSv4DzKs0pCM,audio_features,spotify:track:5j7ixaLeGTGSv4DzKs0pCM,0.921
84,85,秒針を噛む,ZUTOMAYO,266664,https://open.spotify.com/track/4HgsPAX3MmMgIT60hJ4W4U,0.0197,https://api.spotify.com/v1/audio-analysis/4HgsPAX3MmMgIT60hJ4W4U,0.655,260800,0.962,4HgsPAX3MmMgIT60hJ4W4U,5.56e-06,1,0.253,-3.055,0,0.0443,129.902,4,https://api.spotify.com/v1/tracks/4HgsPAX3MmMgIT60hJ4W4U,audio_features,spotify:track:4HgsPAX3MmMgIT60hJ4W4U,0.775
85,86,Fanfare,TWICE,266369,https://open.spotify.com/track/49moLXpCwwantnF78yItWf,0.0302,https://api.spotify.com/v1/audio-analysis/49moLXpCwwantnF78yItWf,0.669,220240,0.956,49moLXpCwwantnF78yItWf,9.78e-06,6,0.0764,-2.49,1,0.126,114.922,4,https://api.spotify.com/v1/tracks/49moLXpCwwantnF78yItWf,audio_features,spotify:track:49moLXpCwwantnF78yItWf,0.81
86,87,ワタリドリ,[Alexandros],265439,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o,0.00141,https://api.spotify.com/v1/audio-analysis/0ve9Tpz8Yw0I4eXhWsy21o,0.508,248707,0.964,0ve9Tpz8Yw0I4eXhWsy21o,0.0,9,0.197,-4.077,1,0.0831,134.982,4,https://api.spotify.com/v1/tracks/0ve9Tpz8Yw0I4eXhWsy21o,audio_features,spotify:track:0ve9Tpz8Yw0I4eXhWsy21o,0.609
87,88,Lovers,sumika,262952,https://open.spotify.com/track/3pwe5YS438tETO53DSfTnl,0.0702,https://api.spotify.com/v1/audio-analysis/3pwe5YS438tETO53DSfTnl,0.608,250800,0.923,3pwe5YS438tETO53DSfTnl,0.0,11,0.298,-2.057,1,0.0305,114.472,4,https://api.spotify.com/v1/tracks/3pwe5YS438tETO53DSfTnl,audio_features,spotify:track:3pwe5YS438tETO53DSfTnl,0.769
88,89,Pretty Savage,BLACKPINK,262864,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr,0.00657,https://api.spotify.com/v1/audio-analysis/1XnpzbOGptRwfJhZgLbmSr,0.695,199120,0.583,1XnpzbOGptRwfJhZgLbmSr,8.75e-05,9,0.104,-6.575,0,0.0423,152.001,4,https://api.spotify.com/v1/tracks/1XnpzbOGptRwfJhZgLbmSr,audio_features,spotify:track:1XnpzbOGptRwfJhZgLbmSr,0.382
89,90,優しさ,Fujii Kaze,258249,https://open.spotify.com/track/0f3Ce9xjHymExIpEyHUC8D,0.11,https://api.spotify.com/v1/audio-analysis/0f3Ce9xjHymExIpEyHUC8D,0.598,240080,0.706,0f3Ce9xjHymExIpEyHUC8D,0.0,1,0.0925,-6.827,1,0.0491,133.847,4,https://api.spotify.com/v1/tracks/0f3Ce9xjHymExIpEyHUC8D,audio_features,spotify:track:0f3Ce9xjHymExIpEyHUC8D,0.262
90,91,HANABI,Mr.Children,255708,https://open.spotify.com/track/0AU7xhipAm9Saq0k8A9Iua,0.157,https://api.spotify.com/v1/audio-analysis/0AU7xhipAm9Saq0k8A9Iua,0.638,342773,0.766,0AU7xhipAm9Saq0k8A9Iua,0.0,1,0.124,-5.541,1,0.0268,112.005,4,https://api.spotify.com/v1/tracks/0AU7xhipAm9Saq0k8A9Iua,audio_features,spotify:track:0AU7xhipAm9Saq0k8A9Iua,0.595
91,92,Rain On Me (with Ariana Grande),Lady Gaga,254098,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,0.021,https://api.spotify.com/v1/audio-analysis/7ju97lgwC2rKQ6wwsf9no9,0.672,182200,0.855,7ju97lgwC2rKQ6wwsf9no9,0.0,9,0.323,-3.764,1,0.0397,123.056,4,https://api.spotify.com/v1/tracks/7ju97lgwC2rKQ6wwsf9no9,audio_features,spotify:track:7ju97lgwC2rKQ6wwsf9no9,0.646
92,93,ON,BTS,251882,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF,0.118,https://api.spotify.com/v1/audio-analysis/2QyuXBcV1LJ2rq01KhreMF,0.583,246381,0.817,2QyuXBcV1LJ2rq01KhreMF,0.0,9,0.338,-5.146,0,0.0987,105.936,4,https://api.spotify.com/v1/tracks/2QyuXBcV1LJ2rq01KhreMF,audio_features,spotify:track:2QyuXBcV1LJ2rq01KhreMF,0.438
